"","ID","DISEASE","DISEASE_SUBTYPE","DISEASE_PROXY","COUNTRY","COUNTRY_PROXY","YEAR","SEX","AGE","SES","DIMENSION","DOMAIN","CRITERION","INDICATOR","INDICATOR_PROXY","MEASURE","UNIT","CATEGORIES","VALUE","SD","LOWER CI","UPPER CI","SOURCE","RATING","KEY_POINT","QUOTES","META_1","META_2","META_3","CRITERION2","COMMENTS","QUALY"
"1","Crohns Disease","Crohns Disease",NA,"IBD","Belgium",NA,2021,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Years of life lived with disability (per case)",NA,NA,"YLD/case",NA,"0.145",NA,NA,NA,"GBD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","EQ-5D-5L average score",NA,NA,NA,"BEFORE","0.85",0.2,0.82,0.88,"NEED survey",NA,NA,NA,"Range: ââ0.532; 1",NA,NA,NA,NA,NA
"3","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","EQ-5D-5L average score",NA,NA,NA,"TODAY","0.7",0.22,0.67,0.74,"NEED survey",NA,NA,NA,"Range: ââ0.532; 1",NA,NA,NA,NA,NA
"4","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","EQ-5D-5L average score",NA,NA,NA,"DIFFERENCE","-0.15",0.3,-0.2,-0.1,"NEED survey",NA,NA,NA,"Average before minus the average today",NA,NA,NA,NA,NA
"5","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Chronic fatigue","49",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Joint inflammation(s)","46.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Diseases of the liver and/or bile ducts","13.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Skin lesions","12.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Eye manifestations","7.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","Osteoporosis","7.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on general health-related quality of life","Associated comorbidities",NA,NA,"%","None","19.5",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Diarrhoea","78",NA,NA,NA,"NEED survey",NA,"""Patients reported uncertainty about whether symptoms were directly caused by the disease or related to treatment side-effects.""",NA,NA,NA,NA,NA,NA,NA
"13","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Fatigue or exhaustion","76",NA,NA,NA,"NEED survey",NA,"""Intense fatigue and a permanent state of weakness  impacted their daily activities (e.g. driving) and required increased rest.""","""I used to take long naps, spend a lot of time on the couch, and I kept telling my mom all the time 'I'm incubating something, I don't know what'. And I didn't have a fever, but I felt my brain heating up, really. I felt there was inflammation but I didn't have a fever.""",NA,NA,NA,NA,NA,NA
"14","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Cramps","70",NA,NA,NA,"NEED survey",NA,"""Need to spend long hours in the restroom.""","""It was big, big cramps in my abdomen. Vomiting all day long.â; ""So I had the symptoms of pain, I had the symptoms of bloating, I had the symptoms of vomiting, I had the symptoms of going to the toilet very regularly, I had this fistula there as well.""",NA,NA,NA,NA,NA,NA
"15","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Lack of energy","66.7",NA,NA,NA,"NEED survey",NA,NA,"""Been home for a week, and I found the fatigue very heavy, I would always sleep and sleep and at one point I said, I have to get over it.â",NA,NA,NA,NA,NA,NA
"16","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Urgency or stool urge","63.3",NA,NA,NA,"NEED survey",NA,NA,"""Of course, you can't do much during a crisis. Standing up for ten minutes is actually a long time. It was a while ago, but I can still remember it well. It was actually constantly walking to and from the toilet.""; ""It was big, big cramps in my abdomen. Vomiting all day long.â;""So I had the symptoms of pain, I had the symptoms of bloating, I had the symptoms of vomiting, I had the symptoms of going to the toilet very regularly, I had this fistula there as well.""",NA,NA,NA,NA,NA,NA
"17","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Joint pain or inflammation","48",NA,NA,NA,"NEED survey",NA,NA,"""I don't just say because I also have a lot of rheumatological problems. And finally, spondylitis has now come out as well. So I explain that in such a way that I also have very diverse complaints. Not just gut-related.""",NA,NA,NA,NA,NA,NA
"18","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Continuous abdominal pain","48.7",NA,NA,NA,"NEED survey",NA,NA,"""It was big, big cramps in my abdomen. Vomiting all day long.â ; ""So I had the symptoms of pain, I had the symptoms of bloating, I had the symptoms of vomiting, I had the symptoms of going to the toilet very regularly, I had this fistula there as well.""",NA,NA,NA,NA,NA,NA
"19","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Dry, painful or itchy skin or rash","30.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
